ISIN,Company,Exchange,Symbol,Industry,Date Added,Notes
US88579Y1010,3M,NYSE,MMM,Conglomerate,1976-08-09,as Minnesota Mining and Manufacturing
US0258161092,American Express,NYSE,AXP,Financial services,1982-08-30,
US0378331005,Apple,NASDAQ,AAPL,Information technologies,2015-03-19,
US0970231058,Boeing,NYSE,BA,Aerospace and defense,1987-03-12,
US1491231015,Caterpillar,NYSE,CAT,Construction and mining equipment,1991-05-06,
US1667641005,Chevron,NYSE,CVX,Oil & gas,2008-02-19,also 1930-07-18 to 1999-11-01
US17275R1023,Cisco Systems,NASDAQ,CSCO,Information technologies,2009-06-08,
US1912161007,Coca-Cola,NYSE,KO,Food,1987-03-12,also 1932-05-26 to 1935-11-20
US26078J1007,DowDuPont,NYSE,DWDP,Chemical industry,2017-09-01,"Essentially, as continuation of E.I. du Pont de Nemours & Company's appearance since 1935-11-20, but officially a new company due to its merger with Dow Chemical Company on the same day.[6]"
US30231G1022,ExxonMobil,NYSE,XOM,Oil & gas,1928-10-01,as Standard Oil of New Jersey
US38141G1040,Goldman Sachs,NYSE,GS,Financial services,2013-09-20,
US4370761029,The Home Depot,NYSE,HD,Retail,1999-11-01,
US4592001014,IBM,NYSE,IBM,Information technologies,1979-06-29,also 1932-05-26 to 1939-03-04
US4581401001,Intel,NASDAQ,INTC,Information technologies,1999-11-01,
US4781601046,Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,1997-03-17,
US46625H1005,JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06,
US5801351017,McDonald's,NYSE,MCD,Food,1985-10-30,
US58933Y1055,Merck & Company,NYSE,MRK,Pharmaceuticals,1979-06-29,
US5949181045,Microsoft,NASDAQ,MSFT,Information technologies,1999-11-01,
US6541061031,Nike,NYSE,NKE,Apparel,2013-09-20,
US7170811035,Pfizer,NYSE,PFE,Pharmaceuticals,2004-04-08,
US7427181091,Procter & Gamble,NYSE,PG,Consumer goods,1932-05-26,
US89417E1091,Travelers,NYSE,TRV,Insurance,2009-06-08,
US91324P1021,UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,
US9130171096,United Technologies,NYSE,UTX,Conglomerate,1939-03-14,as United Aircraft
US92343V1044,Verizon,NYSE,VZ,Telecommunication,2004-04-08,
US92826C8394,Visa,NYSE,V,Financial services,2013-09-20,
US9311421039,Walmart,NYSE,WMT,Retail,1997-03-17,
US9314271084,Walgreens Boots Alliance,NASDAQ,WBA,Retail,2018-06-26,
US2546871060,Walt Disney,NYSE,DIS,Broadcasting and entertainment,1991-05-06,
