,logReturn_d2,logVola_d2,logReturn_d1,logVola_d1,logReturnSum,logVolaSum,logReturnDelta,logVolaDelta
0,-0.114007982998408,-1.9812395698162901,-0.0320322213470172,-1.74958835798543,-0.1460402043454252,-3.7308279278017205,-0.08197576165139081,-0.23165121183086002
3,-0.0816556498404958,-2.14681523272586,-0.13725960009416002,-2.16041661249803,-0.21891524993465583,-4.307231845223891,0.05560395025366423,0.01360137977217013
6,-0.19350544315953602,-2.42526634640664,0.0557509000208682,-2.14497928866824,-0.1377545431386678,-4.57024563507488,-0.24925634318040424,-0.2802870577383998
10,-0.13543328161410698,-2.34587456358704,-0.143605839488463,-2.33539506413059,-0.27903912110257,-4.681269627717629,0.008172557874356029,-0.010479499456450103
12,-0.164070900748945,-1.8614466599096,-0.0574865576535384,-1.90070255303478,-0.22155745840248342,-3.7621492129443803,-0.10658434309540661,0.039255893125180075
13,-0.0717977567755861,-2.64540555835663,-0.0334570879805174,-2.0732466258951003,-0.1052548447561035,-4.718652184251731,-0.0383406687950687,-0.5721589324615297
17,-0.40848853877378904,-1.95183348719401,-0.207665201983385,-1.83791234317726,-0.616153740757174,-3.78974583037127,-0.20082333679040404,-0.11392114401675002
24,0.0264673288951642,-1.81531914765937,-0.3943793762190109,-1.4268243084372698,-0.36791204732384675,-3.24214345609664,0.4208467051141751,-0.38849483922210015
27,-0.0823288331754007,-2.72249078195042,-0.161092365930459,-1.88258865727767,-0.2434211991058597,-4.60507943922809,0.0787635327550583,-0.83990212467275
29,-0.0652911314143845,-2.4055095121446697,-0.116770090127013,-2.20594616012945,-0.1820612215413975,-4.61145567227412,0.0514789587126285,-0.19956335201521958
32,-0.13467747855926,-2.53523962254023,0.0931830894698488,-2.46360060457518,-0.04149438908941119,-4.99884022711541,-0.22786056802910878,-0.07163901796504968
39,-0.0967533352794431,-2.1226843471934096,0.148934786820621,-1.84800844468945,0.0521814515411779,-3.9706927918828594,-0.2456881221000641,-0.27467590250395957
41,-0.143605839488463,-2.33539506413059,0.0928237800203431,-1.9267095251807902,-0.05078205946811991,-4.26210458931138,-0.2364296195088061,-0.40868553894979964
43,-0.0574865576535384,-1.90070255303478,0.199636365812173,-1.7467048636423101,0.1421498081586346,-3.6474074166770905,-0.2571229234657114,-0.15399768939246994
44,-0.0334570879805174,-2.0732466258951003,0.11226307747043598,-2.38675387114369,0.07880598948991858,-4.4600004970387905,-0.1457201654509534,0.31350724524858986
45,-0.0243327384647594,-2.02235248697531,0.17844728343543698,-1.9807997307982002,0.15411454497067759,-4.00315221777351,-0.20278002190019637,-0.04155275617710985
46,-0.0931444340718941,-2.69018859215565,0.0511274933476416,-2.18217072233578,-0.0420169407242525,-4.87235931449143,-0.1442719274195357,-0.5080178698198701
48,-0.207665201983385,-1.83791234317726,0.23203278353239398,-1.3932841891081398,0.024367581549008976,-3.2311965322853995,-0.439697985515779,-0.44462815406912015
49,-0.0704852599964015,-2.0150433754229002,0.137993298500915,-1.7844575922118,0.06750803850451349,-3.7995009676347005,-0.2084785584973165,-0.23058578321110024
50,0.0915555864825404,-1.3147359390851299,0.20614527095516,-1.22478665401188,0.2977008574377004,-2.5395225930970096,-0.1145896844726196,-0.08994928507324995
52,-0.0974942167277859,-1.26391751904437,0.22804714234270104,-0.787963249250655,0.13055292561491516,-2.051880768295025,-0.3255413590704869,-0.47595426979371513
56,0.0172114751138214,-2.08503239413789,0.0843786023385067,-2.1738340589069702,0.1015900774523281,-4.25886645304486,-0.0671671272246853,0.08880166476908036
57,-0.0965008586318467,-2.57026561956229,0.00468267773618999,-2.2615689637024703,-0.0918181808956567,-4.83183458326476,-0.10118353636803669,-0.30869665585981965
61,-0.0918045220252722,-2.1933104664638,0.15134819776362599,-1.77884986578554,0.059543675738353785,-3.9721603322493397,-0.2431527197888982,-0.41446060067825985
62,0.179347410467567,-1.8594553365209499,0.0993823155193449,-2.38275785601791,0.2787297259869119,-4.24221319253886,0.0799650949482221,0.5233025194969603
