,target_logReturn,isUpperQuart,isLowerQuart
1,0.0931830894698488,0,0
2,0.187053398994093,1,0
4,0.0262430928843481,0,1
5,0.171181885798232,0,0
7,0.0619257783180914,0,1
8,0.148934786820621,0,0
9,0.0929273681584854,0,0
11,0.169495664598407,0,0
14,0.17844728343543698,0,0
15,0.0511274933476416,0,1
16,0.157929834934909,0,0
18,0.137993298500915,0,0
19,0.20614527095516,1,0
20,0.110685788721495,0,0
21,0.22804714234270104,1,0
22,0.208937347260237,1,0
23,0.15537535339346803,0,0
25,0.0843786023385067,0,1
26,0.00468267773618999,0,1
28,0.123511239258532,0,0
30,0.15134819776362599,0,0
31,0.0993823155193449,0,0
33,0.12228866971466999,0,0
34,-0.0327418825065251,0,1
35,0.17943013987997,1,0
36,0.110096496932822,0,0
37,-0.0468986192695701,0,1
38,0.11178764305976,0,0
40,-0.0141951826338509,0,0
42,0.0912201945527996,0,0
47,0.10123082878890101,0,0
51,0.17061614158424698,1,0
53,0.5576326718673779,1,0
54,-0.0460830252679462,0,1
55,0.128684307508211,0,0
58,-0.10746158422969501,0,1
59,0.153162285160979,1,0
60,-0.0376783855341625,0,1
64,0.0941013505498715,0,0
65,0.00682208926407642,0,0
66,0.0423141787775573,0,0
68,-0.000781396710197115,0,0
69,0.0580740986327783,0,0
70,-0.0048429767476124,0,1
72,0.0681083841360491,0,0
73,-0.01236078178282,0,1
75,0.14628029898551903,1,0
77,0.11846157272017802,1,0
79,-0.0495144602714744,0,1
80,-0.0134359145540594,0,1
82,-0.0530943690050692,0,1
83,0.127281002389005,1,0
84,0.0227929155060273,0,0
86,0.146724474683574,1,0
87,0.0210815271359182,0,0
88,0.0481152818474336,0,0
92,0.0379954962718891,0,0
94,0.0181197936996431,1,0
96,-0.0437095505982395,0,0
97,-0.0682854762395084,0,1
99,-0.0434277206245261,0,0
100,-0.0117197849759376,0,0
101,0.0135698190604254,1,0
102,0.0493640446178611,1,0
103,-0.0617560211942397,0,1
104,0.007318129954748741,0,0
105,0.0030237586523485698,0,0
107,0.0218601113138982,1,0
109,-0.0445668623880806,0,0
110,-0.127954182459452,0,1
111,-0.0141703267970584,0,0
112,0.0213192655628964,1,0
113,-0.0575019685798765,0,0
116,0.0161347336998091,1,0
117,-0.0961113420709291,0,1
118,-0.037130153111377996,0,0
119,-0.0432757589710545,0,0
120,0.0296962212326643,1,0
121,-0.070335765682179,0,1
122,-0.0261193934986013,0,0
123,0.10503286695782801,1,0
124,0.0898908186254768,0,0
125,0.0647901295003147,0,0
126,0.0159735025766375,0,1
127,0.0433920844449587,0,1
129,0.0774307950784776,0,0
131,0.0558353484928326,0,0
135,0.0497234353524307,0,0
139,-0.0558046544402503,0,1
142,0.0460897043938541,0,0
143,0.102981223916425,0,0
146,0.208424522681358,1,0
149,0.11765555532127,1,0
150,0.0733058055537571,0,0
153,-0.00241327077621576,0,1
155,0.0507411056746347,0,0
156,-0.00286368976504218,0,0
157,0.13548856402731402,1,0
158,0.0036047367619194397,0,0
159,0.0299206252640751,0,0
160,-0.0219689907179264,0,1
161,0.0258357776888829,0,0
162,0.0207039108087962,0,0
163,0.00662428400587063,0,0
164,-0.0313958691936461,0,1
165,0.0798718712240458,1,0
167,0.0552785925923578,1,0
168,-0.0168781973188157,0,1
169,0.0106360126381574,0,0
170,0.028812995437002997,0,0
171,-0.0439745440952549,0,1
172,0.0042010521649782796,0,0
173,0.11327957155371302,1,0
176,0.0930110773596732,1,0
177,0.165901174162356,1,0
