year,month,variable,value,isin
2017,12,logReturn,-0.0242602018998833,US88579Y1010
2017,11,logReturn,0.0598367594138056,US88579Y1010
2017,10,logReturn,0.0787402210926138,US88579Y1010
2017,9,logReturn,0.0306704838559737,US88579Y1010
2017,8,logReturn,-0.0103852697452439,US88579Y1010
2017,7,logReturn,-0.0421473273709976,US88579Y1010
2017,6,logReturn,0.0186170839575298,US88579Y1010
2017,5,logReturn,0.0544086254748691,US88579Y1010
2017,4,logReturn,0.0264404135377502,US88579Y1010
2017,3,logReturn,0.00771267073453736,US88579Y1010
2017,2,logReturn,0.0683153215159553,US88579Y1010
2017,1,logReturn,-0.0183073788821569,US88579Y1010
2016,12,logReturn,0.0338301045343555,US88579Y1010
2016,11,logReturn,0.0510247204177877,US88579Y1010
2016,10,logReturn,-0.0572522241887386,US88579Y1010
2016,9,logReturn,-0.0210555693740816,US88579Y1010
2016,8,logReturn,0.0114665984751524,US88579Y1010
2016,7,logReturn,0.0159370585922953,US88579Y1010
2016,6,logReturn,0.0374091221462528,US88579Y1010
2016,5,logReturn,0.00651351986047462,US88579Y1010
2016,4,logReturn,-0.000895642473685426,US88579Y1010
2016,3,logReturn,0.0431678160587554,US88579Y1010
2016,2,logReturn,0.0605399092068784,US88579Y1010
2016,1,logReturn,0.0280723142170636,US88579Y1010
2015,12,logReturn,-0.0407154147318534,US88579Y1010
2015,11,logReturn,-0.0146154399520379,US88579Y1010
2015,10,logReturn,0.110242320940666,US88579Y1010
2015,9,logReturn,0.0233353489989912,US88579Y1010
2015,8,logReturn,-0.0476206208099342,US88579Y1010
2015,7,logReturn,-0.0280806371556829,US88579Y1010
2015,6,logReturn,-0.0298793351624442,US88579Y1010
2015,5,logReturn,0.0151506168680279,US88579Y1010
2015,4,logReturn,-0.0384480194185166,US88579Y1010
2015,3,logReturn,-0.0330928360978462,US88579Y1010
2015,2,logReturn,0.0316143401973233,US88579Y1010
2015,1,logReturn,-0.0107858972389771,US88579Y1010
2014,12,logReturn,0.0382087931013707,US88579Y1010
2014,11,logReturn,0.0487081849457102,US88579Y1010
2014,10,logReturn,0.0996895669178687,US88579Y1010
2014,9,logReturn,-0.0177688337138651,US88579Y1010
2014,8,logReturn,0.0332809339708518,US88579Y1010
2014,7,logReturn,-0.0257153888017343,US88579Y1010
2014,6,logReturn,0.00644395413280027,US88579Y1010
2014,5,logReturn,0.0183411925429257,US88579Y1010
2014,4,logReturn,0.0185769687887236,US88579Y1010
2014,3,logReturn,0.0257600697164368,US88579Y1010
2014,2,logReturn,0.0903309016927806,US88579Y1010
2014,1,logReturn,-0.0746812550419855,US88579Y1010
2013,12,logReturn,0.0938994808893549,US88579Y1010
